"Comparison1" "Comparison2" "HumanPred"
"105" "o3_t2_ap_d2" "o3_t2_rp_d1" 1
"106" "o3_t2_ap_d2" "o3_t2_rp_d2" 1
"107" "o3_t2_mf_d1" "o3_t2_mf_d2" 0.166666666666667
"108" "o3_t2_mf_d1" "o3_t2_rp_d1" 1
"109" "o3_t2_mf_d1" "o3_t2_rp_d2" 0.444444444444444
"110" "o3_t2_mf_d2" "o3_t2_rp_d1" 1
"111" "o3_t2_mf_d2" "o3_t2_rp_d2" 0.857142857142857
"112" "o3_t2_rp_d1" "o3_t2_rp_d2" 0
"113" "o4_t1_cs_d1" "o4_t1_cs_d2" 0.714285714285714
"114" "o4_t1_cs_d1" "o4_t2_mf_d1" 0.727272727272727
"115" "o4_t1_cs_d1" "o4_t2_mf_d2" 0.181818181818182
"116" "o4_t1_cs_d1" "o4_t2_rp_d1" 1
"117" "o4_t1_cs_d1" "o4_t2_rp_d2" 0.4
"118" "o4_t1_cs_d2" "o4_t2_mf_d1" 0.75
"119" "o4_t1_cs_d2" "o4_t2_mf_d2" 0
"120" "o4_t1_cs_d2" "o4_t2_rp_d1" 0.75
"121" "o4_t1_cs_d2" "o4_t2_rp_d2" 0.375
"124" "o4_t2_ap_d1" "o4_t2_ap_d2" 0
"125" "o4_t2_ap_d1" "o4_t2_mf_d1" 0.666666666666667
"126" "o4_t2_ap_d1" "o4_t2_mf_d2" 0.2
"127" "o4_t2_ap_d1" "o4_t2_rp_d1" 0.888888888888889
"128" "o4_t2_ap_d1" "o4_t2_rp_d2" 0.5
"131" "o4_t2_ap_d2" "o4_t2_mf_d1" 0.9
"132" "o4_t2_ap_d2" "o4_t2_mf_d2" 0.846153846153846
"133" "o4_t2_ap_d2" "o4_t2_rp_d1" 1
"134" "o4_t2_ap_d2" "o4_t2_rp_d2" 0.875
"135" "o4_t2_mf_d1" "o4_t2_mf_d2" 0
"136" "o4_t2_mf_d1" "o4_t2_rp_d1" 0.428571428571429
"137" "o4_t2_mf_d1" "o4_t2_rp_d2" 0
"138" "o4_t2_mf_d2" "o4_t2_rp_d1" 1
"139" "o4_t2_mf_d2" "o4_t2_rp_d2" 1
"140" "o4_t2_rp_d1" "o4_t2_rp_d2" 0.125
"141" "o5_t1_cs_d1" "o5_t1_cs_d2" 0.625
"142" "o5_t1_cs_d1" "o5_t2_mf_d1" 0.6875
"143" "o5_t1_cs_d1" "o5_t2_mf_d2" 0.666666666666667
"144" "o5_t1_cs_d1" "o5_t2_rp_d1" 0.916666666666667
"145" "o5_t1_cs_d1" "o5_t2_rp_d2" 0.3
"146" "o5_t1_cs_d2" "o5_t2_mf_d1" 0.714285714285714
"147" "o5_t1_cs_d2" "o5_t2_mf_d2" 0.7
"148" "o5_t1_cs_d2" "o5_t2_rp_d1" 0.454545454545455
"149" "o5_t1_cs_d2" "o5_t2_rp_d2" 0.428571428571429
"152" "o5_t2_ap_d1" "o5_t2_ap_d2" 0.666666666666667
"153" "o5_t2_ap_d1" "o5_t2_mf_d1" 0.666666666666667
"154" "o5_t2_ap_d1" "o5_t2_mf_d2" 0.785714285714286
"155" "o5_t2_ap_d1" "o5_t2_rp_d1" 0.75
"156" "o5_t2_ap_d1" "o5_t2_rp_d2" 1
"159" "o5_t2_ap_d2" "o5_t2_mf_d1" 0.818181818181818
"160" "o5_t2_ap_d2" "o5_t2_mf_d2" 0.6
"161" "o5_t2_ap_d2" "o5_t2_rp_d1" 0.769230769230769
"162" "o5_t2_ap_d2" "o5_t2_rp_d2" 0.375
"163" "o5_t2_mf_d1" "o5_t2_mf_d2" 0.583333333333333
"164" "o5_t2_mf_d1" "o5_t2_rp_d1" 0.444444444444444
"165" "o5_t2_mf_d1" "o5_t2_rp_d2" 0.3
"166" "o5_t2_mf_d2" "o5_t2_rp_d1" 0.5
"167" "o5_t2_mf_d2" "o5_t2_rp_d2" 0.153846153846154
"168" "o5_t2_rp_d1" "o5_t2_rp_d2" 0.25
"169" "o6_t1_cs_d1" "o6_t1_cs_d2" 0.368421052631579
"170" "o6_t1_cs_d1" "o6_t2_mf_d1" 0.3
"171" "o6_t1_cs_d1" "o6_t2_mf_d2" 0.461538461538462
"172" "o6_t1_cs_d1" "o6_t2_rp_d1" 0.545454545454545
"173" "o6_t1_cs_d1" "o6_t2_rp_d2" 0.5
"174" "o6_t1_cs_d2" "o6_t2_mf_d1" 0.6
"175" "o6_t1_cs_d2" "o6_t2_mf_d2" 0.75
"176" "o6_t1_cs_d2" "o6_t2_rp_d1" 0.545454545454545
"177" "o6_t1_cs_d2" "o6_t2_rp_d2" 0.545454545454545
"180" "o6_t2_ap_d1" "o6_t2_ap_d2" 0.4
"181" "o6_t2_ap_d1" "o6_t2_mf_d1" 0.4
"182" "o6_t2_ap_d1" "o6_t2_mf_d2" 0.5
"183" "o6_t2_ap_d1" "o6_t2_rp_d1" 0.75
"184" "o6_t2_ap_d1" "o6_t2_rp_d2" 0.5
"187" "o6_t2_ap_d2" "o6_t2_mf_d1" 0.727272727272727
"188" "o6_t2_ap_d2" "o6_t2_mf_d2" 0.727272727272727
"189" "o6_t2_ap_d2" "o6_t2_rp_d1" 0.857142857142857
"190" "o6_t2_ap_d2" "o6_t2_rp_d2" 0.625
"191" "o6_t2_mf_d1" "o6_t2_mf_d2" 0.333333333333333
"192" "o6_t2_mf_d1" "o6_t2_rp_d1" 0.416666666666667
"193" "o6_t2_mf_d1" "o6_t2_rp_d2" 0.333333333333333
"194" "o6_t2_mf_d2" "o6_t2_rp_d1" 0.416666666666667
"195" "o6_t2_mf_d2" "o6_t2_rp_d2" 0.583333333333333
"196" "o6_t2_rp_d1" "o6_t2_rp_d2" 0.421052631578947
"197" "o7_t1_cs_d1" "o7_t1_cs_d2" 0.75
"198" "o7_t1_cs_d1" "o7_t2_mf_d1" 0.625
"199" "o7_t1_cs_d1" "o7_t2_mf_d2" 0.818181818181818
"200" "o7_t1_cs_d1" "o7_t2_rp_d1" 1
"201" "o7_t1_cs_d1" "o7_t2_rp_d2" 0.666666666666667
"202" "o7_t1_cs_d2" "o7_t2_mf_d1" 0.571428571428571
"203" "o7_t1_cs_d2" "o7_t2_mf_d2" 0.75
"204" "o7_t1_cs_d2" "o7_t2_rp_d1" 1
"205" "o7_t1_cs_d2" "o7_t2_rp_d2" 0.4
"208" "o7_t2_ap_d1" "o7_t2_ap_d2" 0.666666666666667
"209" "o7_t2_ap_d1" "o7_t2_mf_d1" 0.909090909090909
"210" "o7_t2_ap_d1" "o7_t2_mf_d2" 1
"211" "o7_t2_ap_d1" "o7_t2_rp_d1" 0.916666666666667
"212" "o7_t2_ap_d1" "o7_t2_rp_d2" 0.8
"215" "o7_t2_ap_d2" "o7_t2_mf_d1" 0.636363636363636
"216" "o7_t2_ap_d2" "o7_t2_mf_d2" 0.777777777777778
"217" "o7_t2_ap_d2" "o7_t2_rp_d1" 0.9
"218" "o7_t2_ap_d2" "o7_t2_rp_d2" 0.461538461538462
"219" "o7_t2_mf_d1" "o7_t2_mf_d2" 0.909090909090909
"220" "o7_t2_mf_d1" "o7_t2_rp_d1" 0.933333333333333
"221" "o7_t2_mf_d1" "o7_t2_rp_d2" 0.571428571428571
"222" "o7_t2_mf_d2" "o7_t2_rp_d1" 0.928571428571429
"223" "o7_t2_mf_d2" "o7_t2_rp_d2" 0.285714285714286
"224" "o7_t2_rp_d1" "o7_t2_rp_d2" 0
"225" "o8_t1_cs_d1" "o8_t1_cs_d2" 0.363636363636364
"226" "o8_t1_cs_d1" "o8_t2_mf_d1" 0.272727272727273
"227" "o8_t1_cs_d1" "o8_t2_mf_d2" 0.25
"228" "o8_t1_cs_d1" "o8_t2_rp_d1" 0.111111111111111
"229" "o8_t1_cs_d1" "o8_t2_rp_d2" 0.5
"230" "o8_t1_cs_d2" "o8_t2_mf_d1" 1
"231" "o8_t1_cs_d2" "o8_t2_mf_d2" 0.769230769230769
"232" "o8_t1_cs_d2" "o8_t2_rp_d1" 0.25
"233" "o8_t1_cs_d2" "o8_t2_rp_d2" 0.533333333333333
"236" "o8_t2_ap_d1" "o8_t2_ap_d2" 0.0769230769230769
"237" "o8_t2_ap_d1" "o8_t2_mf_d1" 0.411764705882353
"238" "o8_t2_ap_d1" "o8_t2_mf_d2" 0.25
"239" "o8_t2_ap_d1" "o8_t2_rp_d1" 0
"240" "o8_t2_ap_d1" "o8_t2_rp_d2" 0.222222222222222
"243" "o8_t2_ap_d2" "o8_t2_mf_d1" 1
"244" "o8_t2_ap_d2" "o8_t2_mf_d2" 0.583333333333333
"245" "o8_t2_ap_d2" "o8_t2_rp_d1" 0.666666666666667
"246" "o8_t2_ap_d2" "o8_t2_rp_d2" 1
"247" "o8_t2_mf_d1" "o8_t2_mf_d2" 0.1
"248" "o8_t2_mf_d1" "o8_t2_rp_d1" 0.0833333333333333
"249" "o8_t2_mf_d1" "o8_t2_rp_d2" 0.384615384615385
"250" "o8_t2_mf_d2" "o8_t2_rp_d1" 0.307692307692308
"251" "o8_t2_mf_d2" "o8_t2_rp_d2" 0.636363636363636
"252" "o8_t2_rp_d1" "o8_t2_rp_d2" 0.714285714285714
"253" "o9_t1_cs_d1" "o9_t1_cs_d2" 0.2
"254" "o9_t1_cs_d1" "o9_t2_mf_d1" 0.909090909090909
"255" "o9_t1_cs_d1" "o9_t2_mf_d2" 0.666666666666667
"256" "o9_t1_cs_d1" "o9_t2_rp_d1" 1
"257" "o9_t1_cs_d1" "o9_t2_rp_d2" 0.555555555555556
"258" "o9_t1_cs_d2" "o9_t2_mf_d1" 1
"259" "o9_t1_cs_d2" "o9_t2_mf_d2" 0.222222222222222
"260" "o9_t1_cs_d2" "o9_t2_rp_d1" 0.9375
"261" "o9_t1_cs_d2" "o9_t2_rp_d2" 0.307692307692308
"264" "o9_t2_ap_d1" "o9_t2_ap_d2" 0.0833333333333333
"265" "o9_t2_ap_d1" "o9_t2_mf_d1" 0.6
"266" "o9_t2_ap_d1" "o9_t2_mf_d2" 0.111111111111111
"267" "o9_t2_ap_d1" "o9_t2_rp_d1" 0.571428571428571
"268" "o9_t2_ap_d1" "o9_t2_rp_d2" 0.0769230769230769
"271" "o9_t2_ap_d2" "o9_t2_mf_d1" 1
"272" "o9_t2_ap_d2" "o9_t2_mf_d2" 0.3
"273" "o9_t2_ap_d2" "o9_t2_rp_d1" 1
"274" "o9_t2_ap_d2" "o9_t2_rp_d2" 0.181818181818182
"275" "o9_t2_mf_d1" "o9_t2_mf_d2" 0
"276" "o9_t2_mf_d1" "o9_t2_rp_d1" 0.125
"277" "o9_t2_mf_d1" "o9_t2_rp_d2" 0
"278" "o9_t2_mf_d2" "o9_t2_rp_d1" 1
"279" "o9_t2_mf_d2" "o9_t2_rp_d2" 0.333333333333333
"280" "o9_t2_rp_d1" "o9_t2_rp_d2" 0.0833333333333333
"10" "o10_t1_cs_d1" "o10_t2_ap_d1" 0.294117647058823
"11" "o10_t1_cs_d2" "o10_t2_ap_d1" 0.230769230769231
"17" "o10_t1_cs_d1" "o10_t2_ap_d2" 0.636363636363636
"18" "o10_t1_cs_d2" "o10_t2_ap_d2" 1
"38" "o1_t1_cs_d1" "o1_t2_ap_d1" 0.416666666666667
"39" "o1_t1_cs_d2" "o1_t2_ap_d1" 0.923076923076923
"45" "o1_t1_cs_d1" "o1_t2_ap_d2" 0.363636363636364
"46" "o1_t1_cs_d2" "o1_t2_ap_d2" 0.714285714285714
"66" "o2_t1_cs_d1" "o2_t2_ap_d1" 0.5
"67" "o2_t1_cs_d2" "o2_t2_ap_d1" 0.923076923076923
"73" "o2_t1_cs_d1" "o2_t2_ap_d2" 0
"74" "o2_t1_cs_d2" "o2_t2_ap_d2" 0.454545454545455
"94" "o3_t1_cs_d1" "o3_t2_ap_d1" 0.333333333333333
"95" "o3_t1_cs_d2" "o3_t2_ap_d1" 0.6
"101" "o3_t1_cs_d1" "o3_t2_ap_d2" 0.0833333333333334
"102" "o3_t1_cs_d2" "o3_t2_ap_d2" 0
"122" "o4_t1_cs_d1" "o4_t2_ap_d1" 0.7
"123" "o4_t1_cs_d2" "o4_t2_ap_d1" 0.818181818181818
"129" "o4_t1_cs_d1" "o4_t2_ap_d2" 0
"130" "o4_t1_cs_d2" "o4_t2_ap_d2" 0
"150" "o5_t1_cs_d1" "o5_t2_ap_d1" 0.363636363636364
"151" "o5_t1_cs_d2" "o5_t2_ap_d1" 0.333333333333333
"157" "o5_t1_cs_d1" "o5_t2_ap_d2" 0.4
"158" "o5_t1_cs_d2" "o5_t2_ap_d2" 0.454545454545455
"178" "o6_t1_cs_d1" "o6_t2_ap_d1" 0.6
"179" "o6_t1_cs_d2" "o6_t2_ap_d1" 0.692307692307692
"185" "o6_t1_cs_d1" "o6_t2_ap_d2" 0.375
"186" "o6_t1_cs_d2" "o6_t2_ap_d2" 0.363636363636364
"206" "o7_t1_cs_d1" "o7_t2_ap_d1" 0.166666666666667
"207" "o7_t1_cs_d2" "o7_t2_ap_d1" 0.25
