"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"432" "o8_t2_ap_d2" "o8_t2_ap_d1" 1
"433" "o8_t2_ap_d2" "o8_t2_rp_d1" 1
"434" "o8_t2_ap_d2" "o8_t2_rp_d2" 0
"435" "o8_t2_rp_d1" "o8_t1_cs_d1" 1
"436" "o8_t2_rp_d1" "o8_t1_cs_d2" 1
"437" "o8_t2_rp_d1" "o8_t2_mf_d1" 0
"438" "o8_t2_rp_d1" "o8_t2_mf_d2" 1
"439" "o8_t2_rp_d1" "o8_t2_ap_d1" 1
"440" "o8_t2_rp_d1" "o8_t2_ap_d2" 0
"441" "o8_t2_rp_d1" "o8_t2_rp_d2" 0
"442" "o8_t2_rp_d2" "o8_t1_cs_d1" 1
"443" "o8_t2_rp_d2" "o8_t1_cs_d2" 1
"444" "o8_t2_rp_d2" "o8_t2_mf_d1" 1
"445" "o8_t2_rp_d2" "o8_t2_mf_d2" 1
"446" "o8_t2_rp_d2" "o8_t2_ap_d1" 1
"447" "o8_t2_rp_d2" "o8_t2_ap_d2" 1
"448" "o8_t2_rp_d2" "o8_t2_rp_d1" 1
"449" "o9_t1_cs_d1" "o9_t1_cs_d2" 1
"450" "o9_t1_cs_d1" "o9_t2_mf_d1" 1
"451" "o9_t1_cs_d1" "o9_t2_mf_d2" 0
"452" "o9_t1_cs_d1" "o9_t2_ap_d1" 1
"453" "o9_t1_cs_d1" "o9_t2_ap_d2" 1
"454" "o9_t1_cs_d1" "o9_t2_rp_d1" 1
"455" "o9_t1_cs_d1" "o9_t2_rp_d2" 0
"456" "o9_t1_cs_d2" "o9_t1_cs_d1" 0
"457" "o9_t1_cs_d2" "o9_t2_mf_d1" 1
"458" "o9_t1_cs_d2" "o9_t2_mf_d2" 0
"459" "o9_t1_cs_d2" "o9_t2_ap_d1" 1
"460" "o9_t1_cs_d2" "o9_t2_ap_d2" 1
"461" "o9_t1_cs_d2" "o9_t2_rp_d1" 0
"462" "o9_t1_cs_d2" "o9_t2_rp_d2" 0
"463" "o9_t2_mf_d1" "o9_t1_cs_d1" 0
"464" "o9_t2_mf_d1" "o9_t1_cs_d2" 0
"465" "o9_t2_mf_d1" "o9_t2_mf_d2" 0
"466" "o9_t2_mf_d1" "o9_t2_ap_d1" 0
"467" "o9_t2_mf_d1" "o9_t2_ap_d2" 0
"468" "o9_t2_mf_d1" "o9_t2_rp_d1" 0
"469" "o9_t2_mf_d1" "o9_t2_rp_d2" 0
"470" "o9_t2_mf_d2" "o9_t1_cs_d1" 1
"471" "o9_t2_mf_d2" "o9_t1_cs_d2" 1
"472" "o9_t2_mf_d2" "o9_t2_mf_d1" 1
"473" "o9_t2_mf_d2" "o9_t2_ap_d1" 1
"474" "o9_t2_mf_d2" "o9_t2_ap_d2" 1
"475" "o9_t2_mf_d2" "o9_t2_rp_d1" 1
"476" "o9_t2_mf_d2" "o9_t2_rp_d2" 1
"477" "o9_t2_ap_d1" "o9_t1_cs_d1" 0
"478" "o9_t2_ap_d1" "o9_t1_cs_d2" 0
"479" "o9_t2_ap_d1" "o9_t2_mf_d1" 1
"480" "o9_t2_ap_d1" "o9_t2_mf_d2" 0
"481" "o9_t2_ap_d1" "o9_t2_ap_d2" 1
"482" "o9_t2_ap_d1" "o9_t2_rp_d1" 0
"483" "o9_t2_ap_d1" "o9_t2_rp_d2" 0
"484" "o9_t2_ap_d2" "o9_t1_cs_d1" 0
"485" "o9_t2_ap_d2" "o9_t1_cs_d2" 0
"486" "o9_t2_ap_d2" "o9_t2_mf_d1" 1
"487" "o9_t2_ap_d2" "o9_t2_mf_d2" 0
"488" "o9_t2_ap_d2" "o9_t2_ap_d1" 0
"489" "o9_t2_ap_d2" "o9_t2_rp_d1" 0
"490" "o9_t2_ap_d2" "o9_t2_rp_d2" 0
"491" "o9_t2_rp_d1" "o9_t1_cs_d1" 0
"492" "o9_t2_rp_d1" "o9_t1_cs_d2" 1
"493" "o9_t2_rp_d1" "o9_t2_mf_d1" 1
"494" "o9_t2_rp_d1" "o9_t2_mf_d2" 0
"495" "o9_t2_rp_d1" "o9_t2_ap_d1" 1
"496" "o9_t2_rp_d1" "o9_t2_ap_d2" 1
"497" "o9_t2_rp_d1" "o9_t2_rp_d2" 0
"498" "o9_t2_rp_d2" "o9_t1_cs_d1" 1
"499" "o9_t2_rp_d2" "o9_t1_cs_d2" 1
"500" "o9_t2_rp_d2" "o9_t2_mf_d1" 1
"501" "o9_t2_rp_d2" "o9_t2_mf_d2" 0
"502" "o9_t2_rp_d2" "o9_t2_ap_d1" 1
"503" "o9_t2_rp_d2" "o9_t2_ap_d2" 1
"504" "o9_t2_rp_d2" "o9_t2_rp_d1" 1
"505" "o10_t1_cs_d1" "o10_t1_cs_d2" 0
"506" "o10_t1_cs_d1" "o10_t2_mf_d1" 0
"507" "o10_t1_cs_d1" "o10_t2_mf_d2" 0
"508" "o10_t1_cs_d1" "o10_t2_ap_d1" 0
"509" "o10_t1_cs_d1" "o10_t2_ap_d2" 0
"510" "o10_t1_cs_d1" "o10_t2_rp_d1" 0
"511" "o10_t1_cs_d1" "o10_t2_rp_d2" 0
"512" "o10_t1_cs_d2" "o10_t1_cs_d1" 1
"513" "o10_t1_cs_d2" "o10_t2_mf_d1" 0
"514" "o10_t1_cs_d2" "o10_t2_mf_d2" 0
"515" "o10_t1_cs_d2" "o10_t2_ap_d1" 0
"516" "o10_t1_cs_d2" "o10_t2_ap_d2" 0
"517" "o10_t1_cs_d2" "o10_t2_rp_d1" 1
"518" "o10_t1_cs_d2" "o10_t2_rp_d2" 0
"519" "o10_t2_mf_d1" "o10_t1_cs_d1" 1
"520" "o10_t2_mf_d1" "o10_t1_cs_d2" 1
"521" "o10_t2_mf_d1" "o10_t2_mf_d2" 1
"522" "o10_t2_mf_d1" "o10_t2_ap_d1" 1
"523" "o10_t2_mf_d1" "o10_t2_ap_d2" 1
"524" "o10_t2_mf_d1" "o10_t2_rp_d1" 1
"525" "o10_t2_mf_d1" "o10_t2_rp_d2" 1
"526" "o10_t2_mf_d2" "o10_t1_cs_d1" 1
"527" "o10_t2_mf_d2" "o10_t1_cs_d2" 1
"528" "o10_t2_mf_d2" "o10_t2_mf_d1" 0
"529" "o10_t2_mf_d2" "o10_t2_ap_d1" 0
"530" "o10_t2_mf_d2" "o10_t2_ap_d2" 1
"531" "o10_t2_mf_d2" "o10_t2_rp_d1" 1
"532" "o10_t2_mf_d2" "o10_t2_rp_d2" 0
"533" "o10_t2_ap_d1" "o10_t1_cs_d1" 1
"534" "o10_t2_ap_d1" "o10_t1_cs_d2" 1
"535" "o10_t2_ap_d1" "o10_t2_mf_d1" 0
"536" "o10_t2_ap_d1" "o10_t2_mf_d2" 1
"537" "o10_t2_ap_d1" "o10_t2_ap_d2" 1
"538" "o10_t2_ap_d1" "o10_t2_rp_d1" 1
"539" "o10_t2_ap_d1" "o10_t2_rp_d2" 1
"540" "o10_t2_ap_d2" "o10_t1_cs_d1" 1
"541" "o10_t2_ap_d2" "o10_t1_cs_d2" 1
"542" "o10_t2_ap_d2" "o10_t2_mf_d1" 0
"543" "o10_t2_ap_d2" "o10_t2_mf_d2" 0
"544" "o10_t2_ap_d2" "o10_t2_ap_d1" 0
"545" "o10_t2_ap_d2" "o10_t2_rp_d1" 1
"546" "o10_t2_ap_d2" "o10_t2_rp_d2" 0
"547" "o10_t2_rp_d1" "o10_t1_cs_d1" 1
"548" "o10_t2_rp_d1" "o10_t1_cs_d2" 0
"549" "o10_t2_rp_d1" "o10_t2_mf_d1" 0
"550" "o10_t2_rp_d1" "o10_t2_mf_d2" 0
"551" "o10_t2_rp_d1" "o10_t2_ap_d1" 0
"552" "o10_t2_rp_d1" "o10_t2_ap_d2" 0
"553" "o10_t2_rp_d1" "o10_t2_rp_d2" 0
"554" "o10_t2_rp_d2" "o10_t1_cs_d1" 1
"555" "o10_t2_rp_d2" "o10_t1_cs_d2" 1
"556" "o10_t2_rp_d2" "o10_t2_mf_d1" 0
"557" "o10_t2_rp_d2" "o10_t2_mf_d2" 1
"558" "o10_t2_rp_d2" "o10_t2_ap_d1" 0
"559" "o10_t2_rp_d2" "o10_t2_ap_d2" 1
"560" "o10_t2_rp_d2" "o10_t2_rp_d1" 1
