"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"100" "o2_t2_rp_d1" "o2_t1_cs_d2" 1
"101" "o2_t2_rp_d1" "o2_t2_mf_d1" 1
"102" "o2_t2_rp_d1" "o2_t2_mf_d2" 0
"103" "o2_t2_rp_d1" "o2_t2_ap_d1" 0
"104" "o2_t2_rp_d1" "o2_t2_ap_d2" 1
"105" "o2_t2_rp_d1" "o2_t2_rp_d2" 0
"106" "o2_t2_rp_d2" "o2_t1_cs_d1" 1
"107" "o2_t2_rp_d2" "o2_t1_cs_d2" 1
"108" "o2_t2_rp_d2" "o2_t2_mf_d1" 1
"109" "o2_t2_rp_d2" "o2_t2_mf_d2" 1
"110" "o2_t2_rp_d2" "o2_t2_ap_d1" 1
"111" "o2_t2_rp_d2" "o2_t2_ap_d2" 1
"112" "o2_t2_rp_d2" "o2_t2_rp_d1" 1
"113" "o3_t1_cs_d1" "o3_t1_cs_d2" 0
"114" "o3_t1_cs_d1" "o3_t2_mf_d1" 0
"115" "o3_t1_cs_d1" "o3_t2_mf_d2" 0
"116" "o3_t1_cs_d1" "o3_t2_ap_d1" 0
"117" "o3_t1_cs_d1" "o3_t2_ap_d2" 0
"118" "o3_t1_cs_d1" "o3_t2_rp_d1" 0
"119" "o3_t1_cs_d1" "o3_t2_rp_d2" 1
"120" "o3_t1_cs_d2" "o3_t1_cs_d1" 1
"121" "o3_t1_cs_d2" "o3_t2_mf_d1" 0
"122" "o3_t1_cs_d2" "o3_t2_mf_d2" 0
"123" "o3_t1_cs_d2" "o3_t2_ap_d1" 0
"124" "o3_t1_cs_d2" "o3_t2_ap_d2" 0
"125" "o3_t1_cs_d2" "o3_t2_rp_d1" 1
"126" "o3_t1_cs_d2" "o3_t2_rp_d2" 1
"127" "o3_t2_mf_d1" "o3_t1_cs_d1" 1
"128" "o3_t2_mf_d1" "o3_t1_cs_d2" 1
"129" "o3_t2_mf_d1" "o3_t2_mf_d2" 0
"130" "o3_t2_mf_d1" "o3_t2_ap_d1" 0
"131" "o3_t2_mf_d1" "o3_t2_ap_d2" 0
"132" "o3_t2_mf_d1" "o3_t2_rp_d1" 1
"133" "o3_t2_mf_d1" "o3_t2_rp_d2" 1
"134" "o3_t2_mf_d2" "o3_t1_cs_d1" 1
"135" "o3_t2_mf_d2" "o3_t1_cs_d2" 1
"136" "o3_t2_mf_d2" "o3_t2_mf_d1" 1
"137" "o3_t2_mf_d2" "o3_t2_ap_d1" 1
"138" "o3_t2_mf_d2" "o3_t2_ap_d2" 1
"139" "o3_t2_mf_d2" "o3_t2_rp_d1" 1
"140" "o3_t2_mf_d2" "o3_t2_rp_d2" 1
"141" "o3_t2_ap_d1" "o3_t1_cs_d1" 1
"142" "o3_t2_ap_d1" "o3_t1_cs_d2" 1
"143" "o3_t2_ap_d1" "o3_t2_mf_d1" 1
"144" "o3_t2_ap_d1" "o3_t2_mf_d2" 0
"145" "o3_t2_ap_d1" "o3_t2_ap_d2" 0
"146" "o3_t2_ap_d1" "o3_t2_rp_d1" 1
"147" "o3_t2_ap_d1" "o3_t2_rp_d2" 1
"148" "o3_t2_ap_d2" "o3_t1_cs_d1" 1
"149" "o3_t2_ap_d2" "o3_t1_cs_d2" 1
"150" "o3_t2_ap_d2" "o3_t2_mf_d1" 1
"151" "o3_t2_ap_d2" "o3_t2_mf_d2" 0
"152" "o3_t2_ap_d2" "o3_t2_ap_d1" 1
"153" "o3_t2_ap_d2" "o3_t2_rp_d1" 1
"154" "o3_t2_ap_d2" "o3_t2_rp_d2" 1
"155" "o3_t2_rp_d1" "o3_t1_cs_d1" 1
"156" "o3_t2_rp_d1" "o3_t1_cs_d2" 0
"157" "o3_t2_rp_d1" "o3_t2_mf_d1" 0
"158" "o3_t2_rp_d1" "o3_t2_mf_d2" 0
"159" "o3_t2_rp_d1" "o3_t2_ap_d1" 0
"160" "o3_t2_rp_d1" "o3_t2_ap_d2" 0
"161" "o3_t2_rp_d1" "o3_t2_rp_d2" 1
"162" "o3_t2_rp_d2" "o3_t1_cs_d1" 0
